"Alarm Name","Alarm Type","Alarm Source Node","Card/Board Location","Impacted Link","Impacted NE"
"AM_DOWNSHIFT","LINK BASED","CTG_X9014_NE_2","4-ISV3","CTG_X9014_NE_2-CTG_G1273_NE_1",""
"AM_DOWNSHIFT","LINK BASED","SYL_G0455_NE_1","4-ISV3","SYL_G0455_NE_1-SYL_X0633_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0873_NE_1","6-ISV3","CTG_X0873_NE_1-CTG_X0400_NE_2",""
"FAN_FAIL","NE BASED","CTG_X1580_NE_1","11-FAN","","CTG_X1580_NE_1"
"AM_DOWNSHIFT","LINK BASED","SYL_X0633_NE_1","5-ISV3","SYL_X0633_NE_1-SYL_G0455_NE_1",""
"MAC_FCS_EXC","LINK BASED","DHK_X5585_NE_1","8-EG6","DHK_X5585_NE_1-DHK_X5585_NE_2",""
"AM_DOWNSHIFT","LINK BASED","BAR_G0476_NE_1","3-ISV3","BAR_G0476_NE_1-BAR_X0135_NE_2",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0239_NE_2","3-ISV3","CTG_X0239_NE_2-CTG_X1543_NE_2",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0480_NE_2","3-ISV3","CTG_X0480_NE_2-CTG_X0426_NE_1",""
"MW_BER_SD","LINK BASED","SYL_X0357_NE_1","5-ISV3","SYL_X0357_NE_1-SYL_X0257_NE_1",""
"FAN_FAIL","NE BASED","BAR_X0293_NE_1","11-FAN","","BAR_X0293_NE_1"
"AM_DOWNSHIFT","LINK BASED","BAR_X0195_NE_1","3-ISV3","BAR_X0195_NE_1-BAR_X0099_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0013_NE_2","3-ISV3","BAR_X0013_NE_2-BAR_X0149_NE_1",""
"MW_LOF","LINK BASED","DHK_X2829_NE_1","5-ISM6","DHK_X2829_NE_1-DHK_X4910_NE_1",""
"MW_LOF","LINK BASED","DHK_X4910_NE_1","5-ISM6","DHK_X4910_NE_1-DHK_X2829_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0147_NE_1","3-ISV3","CTG_X0147_NE_1-CTG_X0370_NE_1",""
"MW_BER_SD","LINK BASED","CTG_X0807_NE_1","1-ISV3","CTG_X0807_NE_1-CTG_X1870_NE_2",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0420_NE_1","5-ISV3","RAJ_X0420_NE_1-RAJ_X0065_NE_1",""
"MW_BER_SD","LINK BASED","KHU_X0299_NE_1","3-ISM6","KHU_X0299_NE_1-KHU_X0155_NE_2",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0187_NE_1","6-ISV3","RAJ_X0187_NE_1-RAJ_X0261_NE_1",""
"POWER_ABNORMAL","NE BASED","BAR_R0523_NE_1","5-PIU","","BAR_R0523_NE_1"
"AM_DOWNSHIFT","LINK BASED","CTG_W1681_NE_1","5-ISV3","CTG_W1681_NE_1-CTG_R1143_NE_1",""
"LAG_MEMBER_DOWN","NE BASED","CTG_X1391_NE_1","LINK AGGREGATION GROUP:(2:3G & 2G AoIP Interface )","","CTG_X1391_NE_1"
"AM_DOWNSHIFT","LINK BASED","RAJ_X0239_NE_1","3-ISV3","RAJ_X0239_NE_1-RAJ_X0240_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0045_NE_2","3-ISV3","BAR_X0045_NE_2-BAR_X0011_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0182_NE_1","3-ISV3","RAJ_X0182_NE_1-RB03_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RB03_NE_1","7-ISV3","RB03_NE_1-RAJ_X9002_NE_1",""
